Timestamp,1. Spending: How long do you spend on this course per week?,2. Spending: How much money do you spend on this course except for the tuition and fees?,3. Spending: How long do you spend on discussing with classmates per week?,4. Spending: How long do you use in preparing the exam and quiz totally ?,5. Spending: How long do you use in studying totally without purpose of exams?,6. Outcome: How do you rate your learning outcome in this course by yourself? ,7. Outcome: How do you like this course?,8. Outcome: How much do you think you have learnt from this course?,9. Outcome: Do you get a chance to apply what you have learnt in this course? ,10. Outcome: How do you evaluate your performance in applying what you have learnt?
2018/06/30 6:32:11 PM MDT,Much (>10hrs),Little (<$50),Little (<1 hrs),Much (>10 hrs),Much (>10 hrs),Good,Good,Much,Much,Good
2018/06/30 7:34:46 PM MDT,OK (5~10 hrs),OK ($50~200),Much (>2 hrs),Much (>10 hrs),OK (5~10 hrs),Good,Good,Much,Much,Good
2018/06/30 8:59:47 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),OK,OK,OK,OK,Good
2018/07/01 5:01:32 PM MDT,OK (5~10 hrs),Little (<$50),Little (<1 hrs),Little (<1 hrs),Little (< 1 hrs),Good,Good,OK,Much,Bad
2018/07/01 5:05:52 PM MDT,Little (<5 hrs),Little (<$50),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),Good,Good,Much,Much,Good
2018/07/01 6:16:05 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),OK,OK,Much,Much,OK
2018/07/01 6:16:15 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Little (<1 hrs),Much (>10 hrs),Bad,Good,OK,OK,OK
2018/07/01 7:46:20 AM MDT,OK (5~10 hrs),OK ($50~200),Little (<1 hrs),OK (5~10 hrs),Little (< 1 hrs),OK,Good,OK,OK,Good
2018/07/01 8:06:44 AM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),Good,Good,Much,Much,OK
2018/07/01 8:53:29 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),OK (5~10 hrs),Good,OK,Much,Much,Good
2018/07/01 9:55:41 PM MDT,Much (>10hrs),OK ($50~200),Much (>2 hrs),Much (>10 hrs),Little (< 1 hrs),OK,OK,Much,OK,OK
2018/07/02 1:14:20 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),OK,Good,OK,Much,Good
2018/07/02 1:25:42 PM MDT,OK (5~10 hrs),OK ($50~200),Little (<1 hrs),OK (5~10 hrs),Much (>10 hrs),Good,Good,OK,OK,Bad
2018/07/02 1:38:24 PM MDT,OK (5~10 hrs),OK ($50~200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),OK,Good,Much,Much,OK
2018/07/02 1:38:47 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),OK (5~10 hrs),Good,OK,Much,OK,Good
2018/07/02 1:42:38 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),OK,Bad,OK,Little,OK
2018/07/02 1:46:34 PM MDT,OK (5~10 hrs),OK ($50~200),Much (>2 hrs),OK (5~10 hrs),Little (< 1 hrs),Good,Good,Much,OK,Bad
2018/07/02 1:52:21 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Much (>10 hrs),Little (< 1 hrs),Good,Good,Much,Much,Good
2018/07/02 1:59:51 PM MDT,OK (5~10 hrs),OK ($50~200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),Good,Good,Much,OK,Good
2018/07/02 2:01:01 PM MDT,Much (>10hrs),OK ($50~200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),Bad,Good,Much,OK,OK
2018/07/02 2:06:05 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),Bad,OK,OK,Little,Good
2018/07/02 2:12:34 PM MDT,OK (5~10 hrs),OK ($50~200),OK (1~2hrs),Much (>10 hrs),OK (5~10 hrs),Good,Good,Much,Much,OK
2018/07/02 3:15:28 PM MDT,OK (5~10 hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Much (>10 hrs),Good,OK,OK,Little,Good
2018/07/02 3:39:24 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Little (<1 hrs),Much (>10 hrs),Good,Good,Much,Much,Bad
2018/07/02 3:49:19 PM MDT,OK (5~10 hrs),OK ($50~200),Little (<1 hrs),OK (5~10 hrs),OK (5~10 hrs),Good,Bad,OK,Little,Good
2018/07/02 5:29:01 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Much (>10 hrs),Much (>10 hrs),OK,Good,Much,Much,Good
2018/07/02 5:56:19 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Little (<1 hrs),Much (>10 hrs),OK,OK,Much,Much,Good
2018/07/02 6:01:23 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),OK,Good,Much,OK,OK
2018/07/02 6:14:34 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Much (>10 hrs),Much (>10 hrs),OK,Good,Much,Much,Good
2018/07/02 6:16:14 PM MDT,OK (5~10 hrs),OK ($50~200),OK (1~2hrs),OK (5~10 hrs),Little (< 1 hrs),OK,OK,OK,Little,Bad
2018/07/02 6:20:50 PM MDT,OK (5~10 hrs),Much (>$200),Little (<1 hrs),Little (<1 hrs),Much (>10 hrs),Good,Good,Much,Much,Good
2018/07/02 6:21:28 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),OK (5~10 hrs),Good,Good,Much,Much,OK
2018/07/02 6:24:56 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),Little (<1 hrs),Much (>10 hrs),Good,OK,Much,OK,Good
2018/07/02 6:35:24 PM MDT,Much (>10hrs),Much (>$200),OK (1~2hrs),OK (5~10 hrs),Much (>10 hrs),OK,Good,OK,Much,Good
2018/07/02 6:58:30 PM MDT,OK (5~10 hrs),OK ($50~200),Much (>2 hrs),OK (5~10 hrs),OK (5~10 hrs),OK,Bad,Much,Little,Bad
2018/07/02 7:14:25 PM MDT,Much (>10hrs),Much (>$200),Much (>2 hrs),Much (>10 hrs),Little (< 1 hrs),OK,Good,Much,OK,Good
2018/07/02 7:20:55 PM MDT,Much (>10hrs),Much (>$200),Little (<1 hrs),OK (5~10 hrs),Much (>10 hrs),Good,OK,OK,Little,Bad
2018/07/02 7:22:37 PM MDT,Much (>10hrs),OK ($50~200),Much (>2 hrs),Much (>10 hrs),OK (5~10 hrs),Good,Good,Much,OK,Good
2018/07/02 7:36:17 PM MDT,OK (5~10 hrs),OK ($50~200),Much (>2 hrs),OK (5~10 hrs),Much (>10 hrs),Bad,OK,Much,OK,Good
